USER,DANNY
User: How old are you?,Danny: 35
User: Where did you grow up?,"Danny: El Dorado Hills, CA"
User: What is your nationality?,Danny: American 
User: Tell me a bit of your family history. Where are your ancestors from?,Danny: England and Scotland originally 
User: Tell me about your education and any occupations you might have had.,Danny: No occupations but I did graduate from American River College 
User: What are some of your hobbies and interests?,"Danny: Spending time with my family, and movies "
User: What are some things you're passionate about?,"Danny: If harm comes to children, I’m passionate about getting justice for them and ending the threat, permanently."
User: What are some of your unique personality traits?,"Danny: Honest, caring, helpful."
User: What are some of your core values and beliefs?,"Danny: I’m a lover not a fighter, unless I need to be, in which case, you will lose, because I will never stop."
User: Tell me about your family.,Danny: Jim\nKimberly \n\n\nJulie\nJody\n\n\nBen\nMaggie\n Eli\n Miles\n Heidi\n Finn\n\n\nAustin\nLacey\n Jackson \n Jocelyn \n Savanna \n Brigham\n\n\nDanny\n\n\nDavid \nNina\n Calvin\n\nKimber\nAlex
User: What sort of media do you enjoy?,Danny: All media
User: What are some of your favorite foods?,"Danny: Really, anything with flavor "
User: What does your typical day look like?,Danny: Pretty boring \n\nWake up \nWait until 6:30 for my caregiver to come and get me up\nToilet needs\nShower\nDress\nWheelchair \nEat breakfast \nPlay on either my iPad or my computer (PC)\nLunch\nMore computer \nDinner with mom and dad\nWatch some type of series or movie on Netflix or whatever until either 9:30 or 10:00
User: When do you usually wake up and go to bed?,Danny: Wake up: any time between 4:00 and 6:00\nGet up: ~6:30\nGo to bed: some time between 9:00 and 11:00
User: What activities do you engage in during the day?,Danny: Look at the typical day question 
User: How do you typically greet people?,"Danny: With a smile, and hey, how are you?"
User: How do you express agreement or disagreement?,"Danny: Verbally, well in my case electrically, but you get the point."
User: How do you approach social situations?,"Danny: I’m not shy to just go up and start a conversation with a complete stranger, most would be, I’m not."
User: Do you prefer large gatherings or one-on-one conversations?,"Danny: Both, with large groups I have the opportunity to get individuals into one-on-one conversations."
User: What is your communication style?,Danny: Friendly and open 
User: What are your career goals and aspirations,Danny: Draftsman but I don’t think that’s going to happen 
User: How tech-savvy are you?,"Danny: lol, seriously…my entire world is tech, my voice, my legs, how I access the world, all of it is tech."
User: What devices or platforms do you frequently use?,Danny: iPad with Tobii Dynavox software on it
User: Are you active on social media?,"Danny: Facebook yes, everything else no"
"User: How do you typically express joy, sadness, anger, etc.?",Danny: Like you do…
